COLOR NAME	HEX NUM
Wine (color)#Claret	7F1734
Cobalt blue	0047AB
Chocolate (color)#Variations of chocolate	D2691E
Coffee (color)	6F4E37
#VALUE!	B9D9EB
Shades of pink#Congo pink	F88379
Shades of gray#Cool gray	8C92AC
Copper (color)	B87333
Copper (color)#Variations of copper	DA8A67
Copper (color)#Copper penny	AD6F69
Copper (color)#Copper red	CB6D51
Copper (color)#Copper rose	996666
Coquelicot	FF3800
Coral (color)	FF7F50
Coral (color)#Coral pink	F88379
Cordovan (color)	893F45
Corn (color)	FBEC5D
Shades of red#Cornell red	B31B1B
Cornflower blue	6495ED
Shades of white#Cornsilk	FFF8DC
List of Crayola crayon colors#Silver Swirls	2E2D88
Cosmic latte	FFF8E7
Coyote brown	81613C
Shades of pink#Cotton candy	FFBCD9
Cream (colour)	FFFDD0
Crimson	DC143C
Crimson#School colors	9E1B32
Crystal	A7D8DE
List of Crayola crayon colors#Pearl Brite	F5F5F5
Cyan	00FFFF
Cyan#Process cyan	00B7EB
List of Crayola crayon colors#Metallic FX	58427C
Shades of yellow#Cyber yellow	FFD300
Cyclamen (color)	F56FA1
Blue-gray#Dark blue-gray	666699
Shades of brown#Dark brown	654321
Byzantium (color)#Dark byzantium	5D3954
Cornflower blue#Dark cornflower blue	26428B
Shades of cyan#Dark cyan	008B8B
Electric blue (color)#Dark electric blue	536878
Goldenrod (color)#Dark goldenrod	B8860B
Shades of green#Dark green	13220
Shades of green#Dark green (X11)	6400
Jungle green#Dark jungle green	1A2421
Khaki (color)#Dark khaki	BDB76B
Lava (color)#Dark lava	483C32
Liver (color)#Dark liver (web)	534B4F
Liver (color)#Dark liver (horses)	543D37
Shades of magenta#Dark magenta	8B008B
Shades of green#Dark moss green	4A5D23
Olive (color)#Dark olive green	556B2F
Shades of orange#Dark orange (web color)	FF8C00
Orchid (color)#Dark orchid	9932CC
Shades of green#Dark pastel green	03C03C
Dark purple	301934
Maroon (color)#Dark red	8B0000
Salmon (color)#Dark salmon	E9967A
X11 color names#Color name charts	8FBC8F
Sienna	3C1414
Sky blue#Dark sky blue	8CBED6
X11 color names#Color name charts	483D8B
Slate gray#Dark slate gray	2F4F4F
Spring green#Dark spring green	177245
Turquoise (color)#Dark Turquoise	00CED1
Shades of violet#Pigment violet (web color dark violet)	9400D3
Shades of green#Dartmouth green	00703C
Davy's grey	555555
Cerise (color)#Deep cerise	DA3287
Champagne (color)#Deep champagne	FAD6A5
Chestnut (color)#Deep chestnut	B94E48
Jungle green#Deep jungle green	004B49
Shades of pink#Deep pink	FF1493
Saffron (color)#India saffron or deep saffron	FF9933
Sky blue#Deep sky blue	00BFFF
List of Crayola crayon colors#Metallic FX	4A646C
Taupe#Deep taupe	7E5E60
List of Crayola crayon colors#Standard colors	1560BD
List of Crayola crayon colors#Heads 'n Tails	2243B6
Desert sand (color)#Desert	C19A6B
Desert sand (color)	EDC9AF
Grey#Web colors	696969
Dodger blue	1E90FF
Rose (color)#Dogwood rose	D71868
Desert sand (color)#Sand dune (Drab)	967117
Duke blue	00009C
Shades of white#Dutch white	EFDFBB
Desert sand (color)#Earth yellow	E1A95F
Shades of black (colors)#Ebony	555D50
Ecru	C2B280
Shades of black#Eerie black	1B1B1B
20	614051
Eggshell (color)	F0EAD6
Egyptian blue	1034A6
Eigengrau	16161D
Electric blue (color)	7DF9FF
Electric green	00FF00
Indigo#Electric indigo	6F00FF
Lime (color)#Electric lime	CCFF00
Shades of purple#Electric purple: 2000s	BF00FF
Shades of violet#Electric violet	8F00FF
Shades of green#Emerald	50C878
Shades of purple#Eminence	6C3082
Shades of green#Brunswick green	1B4D3E
Lavender (color)#English lavender	B48395
39	AB4B52
List of Crayola crayon colors	CC474B
Shades of violet#English violet	563C5C
Erin (color)	00FF40
Eton blue#Eton blue	96C8A2
Fallow (color)	C19A6B
Falu red	801818
45	B53389
Shades of pink#Fandango pink	DE5285
Fuchsia (color)#Fashion fuchsia	F400A1
Fawn (colour)	E5AA70
Shades of green#Feldgrau	4D5D53
Shades of green#Fern green	4F7942
Desert sand (color)#Field drab	6C541E
List of Crayola crayon colors#Extreme Twistables colors	FF5470
X11 color names#Color name charts	B22222
Fire engine red	CE2029
Shades of orange#Fire opal	E95C4B
Flame (color)	E25822
Flax (color)	EEDC82
